run_id,connector_id,status,fetched,emitted,duplicates,quarantined,errors,started_at,finished_at
CRUN-BANK_CSV-20260905T06282,BANK_CSV,COMPLETED,20,20,0,0,[],2026-09-05T06:28:23Z,2026-09-05T06:28:23Z
CRUN-ACCOUNTING_CSV-20260905T06282,ACCOUNTING_CSV,COMPLETED,15,15,0,0,[],2026-09-05T06:28:24Z,2026-09-05T06:28:24Z
CRUN-BANK_CSV-20260905T06282,BANK_CSV,COMPLETED,20,20,0,0,[],2026-09-05T06:28:24Z,2026-09-05T06:28:24Z
CRUN-BANK_CSV-20260905T06304,BANK_CSV,COMPLETED,20,0,20,0,[],2026-09-05T06:30:42Z,2026-09-05T06:30:42Z
CRUN-BANK_CSV-20260905T06474,BANK_CSV,COMPLETED,10,0,10,0,[],2026-09-05T06:47:41Z,2026-09-05T06:47:41Z
CRUN-BANK_CSV-20260905T06474,BANK_CSV,COMPLETED,10,0,10,0,[],2026-09-05T06:47:41Z,2026-09-05T06:47:41Z
CRUN-BANK_CSV-20260905T06484,BANK_CSV,COMPLETED,10,0,10,0,[],2026-09-05T06:48:41Z,2026-09-05T06:48:41Z
CRUN-BANK_CSV-20260905T06484,BANK_CSV,COMPLETED,10,0,10,0,[],2026-09-05T06:48:41Z,2026-09-05T06:48:41Z
CRUN-BANK_CSV-20260905T06491,BANK_CSV,COMPLETED,10,0,10,0,[],2026-09-05T06:49:11Z,2026-09-05T06:49:11Z
CRUN-BANK_CSV-20260905T06491,BANK_CSV,COMPLETED,10,0,10,0,[],2026-09-05T06:49:11Z,2026-09-05T06:49:11Z
CRUN-BANK_CSV-20260905T06540,BANK_CSV,COMPLETED,10,0,10,0,[],2026-09-05T06:54:00Z,2026-09-05T06:54:00Z
CRUN-BANK_CSV-20260905T06540,BANK_CSV,COMPLETED,10,0,10,0,[],2026-09-05T06:54:00Z,2026-09-05T06:54:00Z
